"Category ID","Name","Custom URL","Image URL"
"7684","Batteries & Electrical Supplies","/office/batteries-electrical-supplies/",""
"7685","Cable Management","/office/batteries-electrical-supplies/cable-management/",""
"7686","Desks & Workstations","/office/furniture/desks-workstations/",""
"7687","Desks","/office/furniture/desks-workstations/desks/",""
"7688","Bookcases & Shelving","/office/furniture/bookcases-shelving/",""
"7689","Shelving Units\Bookcases","/office/furniture/bookcases-shelving/shelving-units-bookcases/",""
"7690","Back Supports, Footrests & Foot Stools","/office/furniture/back-supports-footrests-foot-stools/",""
"7691","Back Supports","/office/furniture/back-supports-footrests-foot-stools/back-supports/",""
"7692","Partitions & Panels","/office/furniture/partitions-panels/",""
"7693","Partition & Panel Accessories","/office/furniture/partitions-panels/partition-panel-accessories/",""
"7694","Chair Accessories","/office/furniture/chairs-stools-seating-accessories/chair-accessories/",""
"7695","HVAC","/janitorial-sanitation/industrial/hvac/",""
"7696","Air Cooling Equipment","/janitorial-sanitation/industrial/hvac/air-cooling-equipment/",""
"7697","Footrests","/office/furniture/back-supports-footrests-foot-stools/footrests/",""
"7698","Carts & Stands","/office/furniture/carts-stands/",""
"7699","Carts","/office/furniture/carts-stands/carts/",""
"7700","Air Cleaners, Fans, Heaters & Humidifiers","/janitorial-sanitation/air-cleaners-fans-heaters-humidifiers/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/f/air%20cleaners%20fans%20heaters%20%26%20humidifiers__12589.jpg"
"7701","Heaters","/janitorial-sanitation/air-cleaners-fans-heaters-humidifiers/heaters/",""
"7702","Casters & Glides","/office/furniture/chairs-stools-seating-accessories/casters-glides/",""
"7703","Chair Arms","/office/furniture/chairs-stools-seating-accessories/chair-arms/",""
"7704","Keyboard Drawers\Platforms","/office/furniture/desks-workstations/keyboard-drawers-platforms/",""
"7705","File & Storage Cabinets","/office/furniture/file-storage-cabinets/",""
"7706","File Cabinet Accessories","/office/furniture/file-storage-cabinets/file-cabinet-accessories/",""
"7707","Room Accessories","/office/furniture/room-accessories/",""
"7708","Lamps","/office/furniture/room-accessories/lamps/",""
"7709","Hutches","/office/furniture/desks-workstations/hutches/",""
